sentiment,airline,negative_reason,text
4,virginamerica,,commercials experience tacky
0,virginamerica,Bad Flight,aggressive blast obnoxious entertainment guests faces recourse
0,virginamerica,Can't Tell,thing
0,virginamerica,Can't Tell,seriously flight seats didn playing thing flying
4,virginamerica,,time œear wormâ wonâ
4,virginamerica,,well didn
4,virginamerica,,amazing arrived hour early good
4,virginamerica,,pretty graphics better minimal iconography
4,virginamerica,,great deal thinking trip haven trip
4,virginamerica,,flying skies travel
4,virginamerica,,
0,virginamerica,Late Flight,sfopdx schedule
4,virginamerica,,excited cross country flight heard great things virgin america
0,virginamerica,Bad Flight,flew week couldn fully seat large gentleman side help
4,virginamerica,,flying
4,virginamerica,,amazingly awesome bosfll
0,virginamerica,Can't Tell,fares three times carriers seats select
4,virginamerica,,love graphic
4,virginamerica,,love hipster innovation feel good brand
0,virginamerica,Customer Service Issue,guys messed seating reserved seating friends guys seat free internet
0,virginamerica,Customer Service Issue,status match program applied three weeks called emailed response
0,virginamerica,Can't Tell,happened vegan food options site
0,virginamerica,Bad Flight,amazing cold vents
0,virginamerica,Flight Booking Problems,bked cool birthday trip elevate entered middle flight booking problems
0,virginamerica,Customer Service Issue,help left expensive headphones flight today seat answering number
0,virginamerica,Customer Service Issue,awaiting return phone call prefer online selfservice option
4,virginamerica,,great news america start flights hawaii year
4,virginamerica,,moodlighting best experience cool calming œâœˆ
4,virginamerica,,best airline hands
0,virginamerica,Customer Service Issue,chat support working site
4,virginamerica,,view downtown angeles hollywood sign rain mountains
0,virginamerica,Flight Booking Problems,time flyer week excited hard time flights elevate account help
4,virginamerica,,good reason rock
4,virginamerica,,blew mind
4,virginamerica,,julie andrews impressive
0,virginamerica,Flight Booking Problems,excited deal book week loads
4,virginamerica,,spotify stat
4,virginamerica,,lady gaga amazing
0,virginamerica,Customer Service Issue,called weeks adding flights 2014 elevate haven help
4,virginamerica,,love three beat classics
0,virginamerica,Customer Service Issue,heyyyy guyyyys hour call
0,virginamerica,Late Flight,virgin hold 4050 minutes earlier flights tonight earlier 50pm
4,virginamerica,,congrats winning award best deals airline
0,virginamerica,Lost Luggage,fine lost
0,virginamerica,Flight Attendant Complaints,airline awesome loft step game dirty tables floors
4,virginamerica,,worried great ride plane great crew airlines
4,virginamerica,,awesome flew yall morning correct bill
0,virginamerica,Customer Service Issue,going customer service speak human asap
0,virginamerica,Customer Service Issue,supp traveler customer service
4,virginamerica,,applied member crew team interested
0,virginamerica,Late Flight,best begrudgingly airline delayed late flight
0,virginamerica,Can't Tell,interesting flying will cancelled flight flights planned
0,virginamerica,Can't Tell,disappointing experience will shared business traveler meet
0,virginamerica,Flight Booking Problems,trouble adding flight wife booked elevate account help
0,virginamerica,Can't Tell,site will
0,virginamerica,Cancelled Flight,interesting video disappointed cancelled flightled flight flights saturday
0,virginamerica,Late Flight,landed hour late flight check business travel friendly
0,virginamerica,Customer Service Issue,website website great user experience time redesign
0,virginamerica,Customer Service Issue,check website working desktop mobile
0,virginamerica,Can't Tell,scanned passengers leave plane told remove class
0,virginamerica,Flight Booking Problems,phone number find call flight reservation
0,virginamerica,Customer Service Issue,today website useless answering phone
0,virginamerica,Late Flight,traveler flight late flight check missed morning appointments lost business
0,virginamerica,Late Flight,direct flight unexpected layover vegas fuel peeps bought vegas flight
0,virginamerica,Late Flight,late flight check lost business missed flight three people flight
4,virginamerica,,amazing customer service raeann best
0,virginamerica,Customer Service Issue,called service hung awesome
0,virginamerica,Flight Booking Problems,site tripping check plain text version reluctant enter card info
4,virginamerica,,getaway deals oneway lots cool cities
4,virginamerica,,getaway deals oneway lots cool cities
4,virginamerica,,great week ðÿœžâœˆ
4,virginamerica,,horrible cold
0,virginamerica,Late Flight,concerned plane delayed tech
4,virginamerica,,best airline flown easy change reservation helpful representatives comfortable flying experience
4,virginamerica,,kicked butt naelah represents team beautifully
4,virginamerica,,beautiful frontend design cool book ticket backend secure
4,virginamerica,,love team running gate tonight waited delayed flight things entertaining
0,virginamerica,Customer Service Issue,browser 2015 brand reputation built tech response doesn crossbrowser compatible website
0,virginamerica,Flight Booking Problems,flight flight booking problems site totally folks problem
0,virginamerica,Customer Service Issue,customer service delay connecting passengers long va370
4,virginamerica,,outstanding nycjfk crew moved mountains francisco tonight
4,virginamerica,,absolute best team customer service time delighted
0,virginamerica,Customer Service Issue,change flight scheduled hours wait time phone calling intern help
4,virginamerica,,completely awesome experience month boslas nonstop awesome flight depart time
0,virginamerica,Customer Service Issue,failing customers check process link precheck
0,virginamerica,Can't Tell,terrible airline hotel hotline number
0,virginamerica,Cancelled Flight,assistance yesterday cancelled flightled flight hotel hotline shame
0,virginamerica,Late Flight,delayed flight
0,virginamerica,Customer Service Issue,register service class ticket dulles phone queue hour longer advise
4,virginamerica,,rock making watch flight
4,virginamerica,,xoxo
0,virginamerica,Flight Booking Problems,book seats flights check creates anxiety
0,virginamerica,Flight Attendant Complaints,paying extra bucks luggage afford hiring extra hand
4,virginamerica,,best customer service takes cake
0,virginamerica,Late Flight,provide status flight cant imagine time indicates dude weather dallas
4,virginamerica,,amazing staff super helpful spoiled comfort
0,virginamerica,Cancelled Flight,paid premium country cancelled flight flight offer check upgrade love face
0,virginamerica,Flight Booking Problems,question book seat infant option seat
4,virginamerica,,
4,virginamerica,,
0,virginamerica,Damaged Luggage,understand answer damaged luggage policy
0,virginamerica,Damaged Luggage,policy destroyed luggage
4,virginamerica,,checking tickets purchased customer happy
0,virginamerica,Customer Service Issue,problems flight booking problems site error contact phone phone minute wait
0,virginamerica,Cancelled Flight,reschedule cancelled flightled flights online change button greyed
0,virginamerica,Flight Booking Problems,rang wait minutes book ticket vendor site
0,virginamerica,Late Flight,flight told today checked email tomorrow unacceptable
0,virginamerica,Cancelled Flight,flight cancelled flighted stuck dallas called reschedule told flight today
0,virginamerica,Bad Flight,pairings include wine white offered
0,virginamerica,Customer Service Issue,website
0,virginamerica,Customer Service Issue,site wonked browsers
0,virginamerica,Customer Service Issue,disappointed agent designated silver status check closed assist pasengers
